x1,y1,z1,x2,y2,z2
-0.858927763,0.121607854,-0.067815693,-0.100387679,0.142522011,-0.085021698
0.759678102,1.670849337,0.389506443,-0.841098362,0.745253687,0.07724956
1.617835159,0.671663712,0.676541754,-0.086900337,1.162505997,0.822100957
1.878302821,0.985942302,1.756579077,-0.418153016,2.471764891,0.234493023
0.809847171,-0.115243084,-0.958695113,-0.197122459,-1.694762396,1.32486987
0.26855576,1.337986798,0.22593105,0.039193377,-0.489913237,1.358065421
2.308104162,-0.179934883,-0.233572284,-0.759329968,1.844094252,-0.737286817
0.282888012,0.540179686,-1.332220528,-1.29266641,0.367526589,-0.56337318
1.752257689,0.216047282,0.162127715,0.950624527,-0.328695719,-0.055187544
-0.085858483,-0.030208052,-0.210695836,1.527255536,2.140810573,-0.104727172
-0.664926809,0.919135827,0.002436537,2.252319019,2.030644864,0.653748757
-0.548288733,-0.528565328,-0.801092913,1.849369629,-0.904917704,1.9999387
0.935236191,1.839410687,0.02062824,0.833618714,-0.736099554,2.118142523
-1.024212308,1.045390094,0.204366051,2.429983312,-0.479945187,1.52597032
0.644847152,-1.444987186,0.505718798,1.735833229,1.050767172,-0.621228886
0.079356835,0.561038458,0.325802712,3.196949656,2.310452469,0.409865698
0.376719868,0.6508724,-0.416340064,-0.909512478,3.562148601,0.655844531
0.462240513,0.263067897,0.360651976,0.983932265,-1.243560926,2.115190509
0.973028103,-0.017023654,0.107801294,-0.992449424,2.812515691,0.311775993
-0.114269985,-1.08098615,0.552783954,2.349425425,0.035456795,1.783211657
-0.03394083,-1.358466172,1.821333547,-1.60550784,-0.764543463,0.472856802
0.81137701,0.448653433,-0.698838185,2.682161224,-0.463534095,0.918408723
0.173216762,-1.213015782,-0.213115798,2.226651692,0.121969881,3.363578679
1.130503783,0.941622526,1.433303134,-0.77570783,3.103723873,0.253121324
0.553484662,1.187521712,-0.344003528,0.569030922,-3.078032667,2.004942454
0.440805182,1.072149063,1.115650703,0.310849283,3.947221586,0.725818892
0.148990838,0.219255727,1.775935035,2.399352061,-2.301072009,-0.791414428
-0.493219257,-0.239453747,0.558619347,-1.660457024,0.522405165,0.339800251
-0.400495076,-0.988446275,0.862122887,3.767478781,2.093991141,1.436336922
0.624356936,0.133817727,0.897810621,3.053334592,-0.206807957,-0.644759286
-1.347142713,1.654486479,1.454402814,-3.359323682,-0.102937553,1.062520115
-1.331090471,1.27120897,-1.070619034,3.437304826,1.937414821,-0.884604394
0.580407752,-1.081026802,1.316922852,-3.076110018,2.139399298,0.590838098
1.312281898,-0.419799997,-1.326170021,-0.842850344,2.317317112,-1.775176016
1.166251045,-0.44717518,0.922215687,3.500085563,2.042669667,1.03386775
0.372976659,0.118451435,2.50946592,0.165085597,-2.830440623,-0.451081715
0.335959793,-0.022306638,-1.943692765,-0.339561268,-1.296172229,2.899003565
-0.79126389,-0.425602184,2.612582009,-1.747474485,-0.060262453,1.504850743
2.956793465,-0.41149359,-0.79152611,3.561488865,-0.288215534,-0.199970623
-1.446358531,-0.719385329,1.642170005,1.835333013,3.934789998,2.718501574
0.802371733,0.362414702,-0.400760792,-1.904280866,0.185708369,-2.378964939
2.695946397,0.743830525,-0.573741316,-0.91268896,-0.495944639,-1.032953025
-1.80577115,2.806058842,-0.323618445,-2.37825363,-0.147527716,1.423184327
